match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-1003-288,2023-1003,Doha,20230213,288,32,P,3,R16,180.0,214096,Karolina Muchova,9.024390243902438,0.2527317541601884,546.0,26.4,178.0,0,12.0,4.0,119.0,73.0,51.0,27.0,17.0,13.0,16.0,0.6986301369863014,0,0,0,1
2023-1003-289,2023-1003,Doha,20230213,289,32,P,3,R16,81.0,206289,Maria Sakkari,5.0,-0.6739738112094006,3616.0,27.5,172.0,0,5.0,2.0,58.0,30.0,20.0,17.0,9.0,2.0,3.0,0.6666666666666666,1,0,0,1
2023-1003-289,2023-1003,Doha,20230213,289,32,P,3,R16,81.0,206420,Ekaterina Alexandrova,9.024390243902438,-0.619348526313975,2005.0,28.2,175.0,0,0.0,8.0,65.0,39.0,24.0,9.0,8.0,3.0,7.0,0.6153846153846154,0,0,0,1
2023-1003-290,2023-1003,Doha,20230213,290,32,P,3,R16,109.0,206368,Veronika Kudermetova,8.0,-0.6200949684736319,2740.0,25.8,175.0,0,13.0,0.0,70.0,44.0,31.0,17.0,10.0,5.0,5.0,0.7045454545454546,1,0,0,1
2023-1003-290,2023-1003,Doha,20230213,290,32,P,3,R16,109.0,213550,Sofia Kenin,9.024390243902438,0.9753125579816382,323.0,24.2,170.0,0,1.0,2.0,77.0,55.0,32.0,12.0,10.0,5.0,8.0,0.5818181818181818,0,0,0,1
2023-1003-291,2023-1003,Doha,20230213,291,32,P,3,R16,84.0,221103,Coco Gauff,4.0,-0.6874435218933427,3992.0,18.9,175.0,0,7.0,3.0,66.0,40.0,29.0,21.0,11.0,1.0,1.0,0.725,1,0,0,1
2023-1003-291,2023-1003,Doha,20230213,291,32,P,3,R16,84.0,201520,Petra Kvitova,9.024390243902438,-0.6608761587175066,2227.0,32.9,183.0,1,2.0,2.0,57.0,34.0,25.0,15.0,10.0,0.0,1.0,0.7352941176470589,0,0,0,1
2023-1003-292,2023-1003,Doha,20230213,292,32,P,3,R16,162.0,202505,Belinda Bencic,7.0,-0.6470343898415163,3275.0,25.9,175.0,0,3.0,6.0,110.0,73.0,47.0,17.0,14.0,10.0,14.0,0.6438356164383562,1,0,0,1
2023-1003-292,2023-1003,Doha,20230213,292,32,P,3,R16,162.0,201458,Victoria Azarenka,9.024390243902438,-0.6276540527946813,2138.0,33.5,180.0,0,9.0,5.0,95.0,63.0,48.0,13.0,15.0,4.0,7.0,0.7619047619047619,0,0,0,1
2023-1003-293,2023-1003,Doha,20230213,293,32,P,3,R16,53.0,216347,Iga Swiatek,1.0,-0.7547920753130535,10485.0,21.7,176.0,0,2.0,2.0,44.0,31.0,23.0,9.0,7.0,0.0,0.0,0.7419354838709677,1,0,0,1
2023-1003-293,2023-1003,Doha,20230213,293,32,P,3,R16,53.0,203389,Danielle Collins,9.024390243902438,-0.4200158907770234,1219.0,29.1,178.0,0,0.0,2.0,29.0,19.0,6.0,2.0,6.0,2.0,7.0,0.3157894736842105,0,0,0,1
2023-1003-294,2023-1003,Doha,20230213,294,32,P,3,QF,85.0,202468,Jessica Pegula,2.0,-0.714382943261227,5000.0,28.9,170.0,0,2.0,1.0,62.0,34.0,22.0,18.0,9.0,2.0,3.0,0.6470588235294118,1,0,0,1
2023-1003-294,2023-1003,Doha,20230213,294,32,P,3,QF,85.0,206242,Beatriz Haddad Maia,9.024390243902438,-0.669181685198213,2285.0,26.7,185.0,1,0.0,2.0,52.0,33.0,17.0,10.0,8.0,4.0,8.0,0.5151515151515151,0,0,0,1
2023-1003-295,2023-1003,Doha,20230213,295,32,P,3,QF,161.0,206289,Maria Sakkari,5.0,-0.6739738112094006,3616.0,27.5,172.0,0,6.0,2.0,111.0,73.0,53.0,24.0,16.0,3.0,3.0,0.726027397260274,1,0,0,1
2023-1003-295,2023-1003,Doha,20230213,295,32,P,3,QF,161.0,201614,Caroline Garcia,3.0,-0.7273203705631571,4795.0,29.3,177.0,0,8.0,6.0,107.0,62.0,45.0,27.0,16.0,3.0,5.0,0.7258064516129032,0,0,0,1
2023-1003-296,2023-1003,Doha,20230213,296,32,P,3,QF,124.0,206368,Veronika Kudermetova,8.0,-0.6200949684736319,2740.0,25.8,175.0,0,2.0,2.0,81.0,52.0,35.0,12.0,12.0,4.0,8.0,0.6730769230769231,1,0,0,1
2023-1003-296,2023-1003,Doha,20230213,296,32,P,3,QF,124.0,221103,Coco Gauff,4.0,-0.7190148440824509,3992.0,18.9,175.0,0,6.0,4.0,87.0,59.0,30.0,12.0,12.0,6.0,13.0,0.5084745762711864,0,0,0,1
2023-1003-297,2023-1003,Doha,20230213,297,32,P,3,QF,104.26629018245005,216347,Iga Swiatek,1.0,-0.7547920753130535,10485.0,21.7,176.0,0,2.80775825117874,3.6517359622803256,70.63266180882984,44.07586798114016,28.06150878696957,12.093013287612516,10.650235747963995,4.321045863694813,7.95435062151736,0.6401179390634051,1,0,0,1
2023-1003-297,2023-1003,Doha,20230213,297,32,P,3,QF,104.26629018245005,202505,Belinda Bencic,7.0,-0.6940982646403319,3275.0,25.9,175.0,0,2.80775825117874,3.6517359622803256,70.63266180882984,44.07586798114016,28.06150878696957,12.093013287612516,10.650235747963995,4.321045863694813,7.95435062151736,0.6401179390634051,0,0,0,1
2023-1003-298,2023-1003,Doha,20230213,298,32,P,3,SF,119.0,202468,Jessica Pegula,2.0,-0.714382943261227,5000.0,28.9,170.0,0,0.0,6.0,89.0,70.0,38.0,9.0,12.0,9.0,14.0,0.5428571428571428,1,0,0,1
2023-1003-298,2023-1003,Doha,20230213,298,32,P,3,SF,119.0,206289,Maria Sakkari,5.0,-0.7107093176017445,3616.0,27.5,172.0,0,2.0,2.0,85.0,59.0,27.0,8.0,13.0,8.0,17.0,0.4576271186440678,0,0,0,1
2023-1003-299,2023-1003,Doha,20230213,299,32,P,3,SF,56.0,216347,Iga Swiatek,1.0,-0.7547920753130535,10485.0,21.7,176.0,0,1.0,0.0,33.0,23.0,19.0,9.0,7.0,0.0,0.0,0.8260869565217391,1,0,0,1
2023-1003-299,2023-1003,Doha,20230213,299,32,P,3,SF,56.0,206368,Veronika Kudermetova,8.0,-0.6774872116789192,2740.0,25.8,175.0,0,1.0,2.0,34.0,20.0,8.0,4.0,6.0,1.0,6.0,0.4,0,0,0,1
2023-1003-300,2023-1003,Doha,20230213,300,32,P,3,F,69.0,216347,Iga Swiatek,1.0,-0.7547920753130535,10485.0,21.7,176.0,0,2.0,0.0,44.0,32.0,23.0,6.0,8.0,1.0,3.0,0.71875,1,0,0,1
